type|url|main_title|episodes|start_date|end_date|description|rating|number_of_ratings|runtime|image|aid
TV Series|https://anidb.net/anime/1238|Cutey Honey Flash|39|1997-02-15|1998-01-31|On her sixteenth birthday, http://anidb.net/ch43054 [Kisaragi Honey] goes to meet her father. However, he shows up injured and on the run. Out of nowhere, a group of thugs and a monster show up. A detective, http://anidb.net/ch43055 [Hayama Seiji], rescues Honey and her father. Unfortunately, the monster captures Honey`s father. A grieving Honey goes home to find it in ruins, but a handsome man gives her hope and a device to use against the monsters who took her father. With them, Honey can transform into multiple forms and destroy http://anidb.net/ch43063 [Panther Zora], the evil behind this.Source: AnimeNfo|4.85|142|25|https://cdn-us.anidb.net/images/main/83732.jpg|-1
TV Special|https://anidb.net/anime/7346|Hajimete no Christmas|1|1983-12-24|1983-12-24|null|-1.0|-1|-1|null|-1
TV Series|https://anidb.net/anime/5549|Shigofumi|12|2008-01-06|2008-03-23|* Based on a light novel series by Amamiya Ryo, illustrated by Poko.http://anidb.net/ch7106 [Fumika] is a girl with a job as a Shigofumi. This requires her to deliver letters from the dead; the last resort of relaying a deceased person`s last message to his/her loved ones: family, friends or significant other. Together with her talking staff, http://anidb.net/ch11290 [Kanaka], she crosses the boundaries between the world of the living and the world of the dead in order to deliver the letters. But at some point, during a delivery, she gets seen by an old classmate who recognizes her. He then starts investigating what happened to her after she vanished from his class and why she is delivering letters from the dead.|7.1|2808|2|https://cdn-us.anidb.net/images/main/229715.jpg|-1
TV Series|https://anidb.net/anime/9837|Nanami-chan 4th Series|16|2007-06-01|2007-09-14|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/1128|Darling|3|2003-02-18|2003-06-27|http://anidb.net/ch64636 [Jun] is a comic artist who is never afraid to put in a hard day of work. Naturally, he authors pornographic comics. He`s been given a monumental deadline, but he has a special power allowing him to work at hyper speed as long as he is aroused. Lucky for him, his assistant http://anidb.net/ch64635 [Miyuki] is also his wife and she`s ready to give him a hand with work.|5.09|780|30|https://cdn-us.anidb.net/images/main/199876.jpg|-1
TV Series|https://anidb.net/anime/11048|Jitsu wa Watashi wa|13|2015-07-07|2015-09-29|http://anidb.net/ch74470 [Kuromine Asahi], who is unable to lie, found out that his crush, http://anidb.net/ch73943 [Shiragami Youko], is actually a vampire. However, she will be forced to quit school if she is found out, and so he promises to keep her secret. But will he actually be able to keep a secret for once?|4.52|1309|25|https://cdn-us.anidb.net/images/main/173380.jpg|-1
Movie|https://anidb.net/anime/11387|Chocolate Underground: Bokura no Chocolate Sensou|1|2009-01-31|2009-01-31|The previously announced Chocolate Underground anime adaptation of Alex Shearer`s Bootleg novel will be heading to Japanese theaters this January. The satirical novel follows two English boys who create a bootleg chocolate factory after their country bans chocolate. The theatrical version will add 20 minutes of new footage and present the entire project in widescreen format.Source: ANN|3.62|5|90|https://cdn-us.anidb.net/images/main/238114.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
TV Series|https://anidb.net/anime/12201|Shuumatsu no Izetta|12|2016-10-01|2016-12-17|Set in an alternate Earth on the eve of the Second World War, the story follows http://anidb.net/ch83754 [Izetta], the last surviving member of a clan of witches that possesses the ability to magically manipulate any object that they touch. Izetta pledges to help protect http://anidb.net/ch83755 [Princess Fiine] and the tiny Alpine country of Eylstadt from invasion by the imperialistic forces of Germania.Source: Wikipedia|4.67|1086|25|https://cdn-us.anidb.net/images/main/191068.jpg|-1
TV Series|https://anidb.net/anime/10178|Junketsu no Maria|12|2015-01-04|2015-03-29|The story follows http://anidb.net/ch69743 [Maria], the most powerful witch who lives during the Hundred Years` War in France. She despises war, so she obstructs battles with her strong magical powers. Her meddling with her succubus http://anidb.net/ch69739 [Artemis] and incubus http://anidb.net/ch69742 [Priapos] has caught the attention of the heavens, and so the http://anidb.net/ch69744 [Archangel Michael] issues an edict: when Maria loses her virginity, she will also lose her magical powers. A beautiful angel named http://anidb.net/ch69740 [Ezekiel] is supposed to watch Maria and make sure the witch does not use magic in front of people, but Maria continues to use magic anyways.Source: ANNNote: The first episode was pre-aired at Bandai Channel on 04.01.2015, regular TV broadcast started on 11.01.2015.|5.45|1476|25|https://cdn-us.anidb.net/images/main/165298.jpg|-1
Other|https://anidb.net/anime/11398|2005-nen Uchuu no Tabi|1|2005-12-31|2005-12-31|Experimental short film by Michio Mihara.|2.86|101|2|https://cdn-us.anidb.net/images/main/175567.jpg|-1
TV Series|https://anidb.net/anime/11959|Senki Zesshou Symphogear XV|13|2019-07-07|2019-09-29|http://anidb.net/ch91071 [Adam Weishaupt], the first humanoid, who tried to use the power of the Gods to destroy the Gods themselves, was defeated by the Symphogears which were transmuted by the Lapis Philosophicus, the ideal power source that http://anidb.net/ch89820 [St. Germain] and her allies sought. The ancient conspiracy of the Bavarian Illuminati collapsed, and its survivors were hunted by the worlds` governments.But... It wasn`t just the Bavarian Illuminati that was pushed to the brink. The former superpower of America was criticized for its reflection of reaction weapons towards Japan, and isolated from international society. As the threat of a new war on a planetary scale began to rise, swift political resolution was required, but complex international politics prevented any decisive action from occurring. Japan, the victim in the incident, made superficial attempts to repair its relationships with America, but no real progress was made, and the ultimate fate of the world remained unknown.And there was tension to be found in another place as well. Inside the gondola of a Ferris wheel that overlooked the city`s most famous landmarks, a popular date spot, sat two students from Lydian Private Music Academy: http://anidb.net/ch38622 [Kohinata Miku] and http://anidb.net/ch38623 [Tachibana Hibiki]. The taiyaki in their hands was filled with shiratama, and was incredibly delicious. The filling had just the right amount of sweetness, and was the perfect mixture of egg and sugar. But still, there was a tension between them, a tension that arose from a question that Miku had casually asked Hibiki. As Hibiki fumbled for an answer, what lay inside her heart?All the stories that began in the past and were woven towards the present gather inside XV. The battle for the relics remains in eternal midsummer. The songs of the girls give off a shining light, as they sing on the stage of the bursting surface of a lake.Source: crunchyroll|7.4|101|25|https://cdn-us.anidb.net/images/main/233847.jpg|-1
OVA|https://anidb.net/anime/3384|Wannabes|1|1986-12-25|1986-12-25|A tag-team battle between the elegant girls of Dream Team and the heavy-face-painted women of Foxy Ladies does not bode well. The Dream Team gets pretty much wiped out, but not before one of them makes one strong attempt at lifting the 250-pound Foxy Lady over her head. Those to take their place are Eri and Miki of the Wannabes team. Miki and Eri both just want to have fun, but once they begin their new training with the mysterious Kidou Corporation, the same corporation that trained the Dream Team, they discover that there is something more behind all this...Source: AnimeBoredom.co.uk/anime-reviews/wanna-bes/332/|3.52|160|45|https://cdn-us.anidb.net/images/main/32414.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
TV Series|https://anidb.net/anime/301|Hakaima Sadamitsu|10|2001-01-17|2001-03-21|http://anidb.net/ch14863 [Tsubaki Sadamitsu] is a young delinquent and the leader of the Corpse Gang, who after a chance encounter with an alien robot is forced to take up the task of capturing intergalactic criminals named Exiled Ones. His job is made harder with the appearance of the Vulture, a last-ditch effort to keep the Exiled Ones under control.Source: Wikipedia|4.88|367|25|https://cdn-us.anidb.net/images/main/77048.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/10350|Saikin, Imouto no Yousu ga Chotto Okashiinda ga. Moa no Hatsukoi Memory? 16 Nenme no Happy Christmas|1|2014-06-30|2014-06-30|This OVA is divided into two parts. First one is about Torii Shoutarou following his younger sister on a date. Second one is about christmass eve, which Mitsuki, Yuuya and their friends spend at Kanzaki`s hause.Note: Bundled with the limited edition seventh volume of the ImoCho. manga.|3.22|513|25|https://cdn-us.anidb.net/images/main/147567.jpg|-1
TV Series|https://anidb.net/anime/207|Ijigen no Sekai El-Hazard|12|1998-01-08|1998-03-26|Now that Miz is Mrs. Fujisawa, she`s ordered a girl fresh from Priestess School to take her place as Priestess of Water. During the Coronation of the New Priestess of Water, Qawuul Towles (who, of course, has a crush on Makoto - what a surprise!), Makoto and friends are transported to an alternate world by a mysterious entity named Arjah, who claims to be the ruler of the universe. Makoto, Nanami and Qawuul find themselves in the Kingdom of Creteria, where Qawuul and Nanami are mistaken for ancient sky goddesses, while Jinnai, Katsuo, and Shayla-Shayla come upon the alternate world`s version of the Bugrom, and Mr. Fujisawa, Miz and Afura Mann have their heads literally in the clouds.|4.78|810|25|https://cdn-us.anidb.net/images/main/152793.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
Movie|https://anidb.net/anime/8012|Gekijouban Pocket Monsters: Best Wishes! - Victini to Kuroki Eiyuu Zekrom|1|2011-07-16|2011-07-16|The stories of the two movies will be the same until Satoshi and Pikachu meet Victini but the legendary Pokemon will be either Zekrom or Reshiram.|3.99|251|-1|null|-1
Movie|https://anidb.net/anime/3472|Jumping|1|1984-06|1984-06|As a boy skips down a street, his stride becomes bigger and bigger, and he then jumps over towns, a forest, the sea, going higher and further. Finally he reaches a country in wartime. This work is very interesting in that the boy`s jump turns to a god`s jump, to a point where he is watching over human destiny. This work surprised the entire world because the whole film was shot in one cut with 4,000 animation cels.Source: http://web.archive.org/web/20080214232134/http://en.tezuka.co.jp/anime/sakuhin/ea/ea009.html|6.08|354|-1|null|-1
TV Series|https://anidb.net/anime/2844|Shuffle!|24|2005-07-08|2006-01-06|When two doors are discovered in an ancient ruin, the gateways to Shinkai, the Realm of the Shinzoku (Gods) and Makai, the Realm of the Mazoku (Demons) are irreversibly opened. The races of human, shinzoku, and mazoku come together in the mortal world and nothing will ever be the same.One day, two new families move next door to a boy named http://anidb.net/ch14162 [Tsuchimi Rin] who had previously been living a very peaceful life. In one house lives the family of the King of the Gods, and in the other lives the family of the King of the Demons. Both families have one daughter whose single wish is to live next to the boy they have fallen in love with years ago, their wishes have been fulfilled. Interestingly, living with the boy is his childhood friend. With these three girls vying for his affections, Rin finds that his new life will be all but peaceful...Source: ANN|5.82|5653|25|https://cdn-us.anidb.net/images/main/151518.jpg|-1
TV Series|https://anidb.net/anime/7656|Yosuga no Sora: In Solitude, Where We Are Least Alone.|12|2010-10-04|2010-12-20|http://anidb.net/ch19422 [Kasugano Haruka] and his twin sister http://anidb.net/ch19427 [Sora] have lost both their parents in an accident, and with them all their support. They decide to move out of the city to the rural town of Okukozome, where they once spent summers with their late grandfather. At first everything seems familiar and peaceful, but then things start to change as Haruka starts to remember his youth.Source: ANN|4.19|3254|25|https://cdn-us.anidb.net/images/main/55953.jpg|-1
TV Series|https://anidb.net/anime/11925|Ozmafia!!|12|2016-07-07|2016-09-22|* Based on Poni-Pachet`s game Ozmafia!!Having transferred into Oz Academy, Scarlet finds himself already in trouble. The three boys who save him in his time of need are named Caramia, Kyrie, and Axel.Source: ANN|1.91|166|4|https://cdn-us.anidb.net/images/main/221813.jpg|-1
Movie|https://anidb.net/anime/9021|Meloetta no Kirakira Recital|1|2012-07-14|2012-07-14|A 2D theatrical short film opened alongside the http://anidb.net/a8826 [Gekijouban Pocket Monsters: Best Wishes - Kyurem vs Seikenshi Keldeo] film.Meloetta no Kirakira Recital featured only Pokemon creatures, and revolved around the extremely rare telekinetic Pokemon http://anidb.net/ch27467 [Meloetta]. The film also co-stard Pikachu, Oshawott, Axew, Totodile, Chikorita, Torchic, and Piplup, among other popular Pokemon creatures.Source: ANN|3.38|83|20|https://cdn-us.anidb.net/images/main/82662.jpg|-1
Movie|https://anidb.net/anime/7549|Sore Ike! Anpanman: Kyouryuu Nosshi no Daibouken|1|1993-07-17|1993-07-17|Note: Double Feature with http://anidb.net/a5997 [Kaiketsu Zorori: Mahou Tsukai no Deshi / Dai Kaizoku no Takara Sagashi].|4.17|8|60|https://cdn-us.anidb.net/images/main/48334.jpg|-1
OVA|https://anidb.net/anime/2622|Dragon`s Heaven|1|1988-02-25|1988-02-25|In the year 3195, there was a war between an army of robots and the humans. When Shaian, a sentient combat armor, lost his companion in battle, he shut down until his internal systems spotted a new human. It`s now almost a 1000 years later, and Shaian`s greatest enemy is still alive and doing battle in Brazil. With a new friend`s help, Shaian may be able to stop this evil force before another war rages over the continent.|4.16|289|30|https://cdn-us.anidb.net/images/main/73451.jpg|-1
OVA|https://anidb.net/anime/10661|Gunbare! Game Tengoku 2|1|1998-03-19|1998-03-19|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/8223|Katte ni Kaizou|6|2011-05-23|2011-10-26|* Based on http://anidb.net/cr3019 [Kumeta Kouji]`s gag manga by the same name, serialised in http://anidb.net/cr23232 [Weekly Shounen Sunday] from 1998 to 2004.http://anidb.net/ch28308 [Katsu Kaizou] is a former student of the Genius Cram School (Tensai Juku), but his childhood friend http://anidb.net/ch28309 [Natori Umi] accidentally turns him into an idiot (and possibly insane) by injuring his head. Kaizou`s crazy ideas cause an explosion that forced the Genius Cram School to shut down. Even years later when Kaizou is in high school, his former classmates have come looking for payback. So, Kaizou, Umi, and the other members of their high school science club are in for quite surreal situations.Note: The first and third episodes received a live webcast limited to 5000 viewers on NicoNico Douga which preceded their BD/DVD release dates by two days.|4.82|660|25|https://cdn-us.anidb.net/images/main/65401.jpg|-1
OVA|https://anidb.net/anime/7430|Mahou no Star Magical Emi: Kumo Hikaru|1|2002-05-25|2002-05-25|In this new 14 minutes short story, released more than 15 years after the finale of the popular Mahou no Star Magical Emi franchise, a new life was born into the Kazuki family. How did her baby brother change the family`s life and what are Mai`s feelings about him. At the end of an eventful day for the siblings and Shou, another concert is waiting for Emi.Note: This original video was included as an extra on the first DVD-Box to the original Mahou no Star Magical Emi series issued in 2002 and marks the return of director http://anidb.net/cr4252 [Annou Takashi] with new character designs by http://anidb.net/cr5808 [Umitani Toshihisa].|6.17|29|15|https://cdn-us.anidb.net/images/main/45041.jpg|-1
TV Series|https://anidb.net/anime/6413|Hayate no Gotoku!! 2nd Season|25|2009-04-04|2009-09-19|Picks up after episode 19 of Hayate no Gotoku! season 1. Season 2 is supposed to follow the manga more closely.Hayate is still working as the Sanzenin Butler, and season 2 features a lot more Hinagiku, as scenarios that include herself and Hayate allude to potentially mutual feelings between them. Nagi is also interested in escalating her relationship with Hayate, since Nagi`s perception of her relationship with Hayate remains based on the miscommunication that occurred on their first meeting.|7.68|2374|1|https://cdn-us.anidb.net/images/main/20953.jpg|-1
Other|https://anidb.net/anime/9698|Precure All Stars DX the Dance Live: Miracle Dance Stage e Youkoso|1|2011-07-31|2011-07-31|A pink shooting star falls down from the night sky and finds a toy store, striking one of the Cure Dolls of http://anidb.net/ch26063 [Melody] on display. The Melody Doll comes alive, freeing herself from her box. Jumping to the floor, she explores the toy store when she hears the noise of a crowd coming from the outside. Running out of the store, she discovers a huge TV screen which reflects a "real-life" image of herself. Playing around with it, she is soon joined by a Cure Doll of http://anidb.net/ch26064 [Rhythm]. The two spot http://anidb.net/ch26065 [Humy], waiting several floors down on the dance floor, who waves at them and sends up two rainbow keyboards to the Cure Dolls. Nodding to each other, the two slide down the keyboards onto the dance floor, and the concert begins.Source: Pretty Cure WikiaNote: Contains footage of the "Precure All Stars DX 3D Theater" (プリキュアオールスターズDX 3Dシアター) events that were held throughout Japan. Released on DVD/BD on 25.11.2011.|5.24|44|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/2254|Black Gate: Kan`in no Gakuen|2|2004-07-25|2004-12-25|* Based on a game by http://anidb.net/cr935 [Image Works]."If you can get power strong enough to make the world at you own will, what will you do?" http://anidb.net/ch64993 [Kadomori Shizuku] left a mysterious message to the classmate, http://anidb.net/ch64988 [Hosokawa Seiji], whom she had made love with at the first time, and she disappeared suddenly. http://anidb.net/ch64990 [Kasumi] who was the twin sister noticed something wrong. Then she saw Shizuku calling up the unnatural power of Kadomori family to open the forbidden gate. The gate had been warned not to open, and Kadomori family had guarded the gate from generation to generation. Shizuku said, "I need power", and disappeared into the gate. To chase her, 6 girls who were to guard the gate gathers around Kasumi, and opened the gate to the unknown world. Then, a mysterious girl http://anidb.net/ch64994 [Sora] appeared in front of them. What would be waiting for them who had destines they couldn`t escape from?Source: AnimeNfo|3.51|536|30|https://cdn-us.anidb.net/images/main/3993.jpg|-1
TV Series|https://anidb.net/anime/4927|Gasshin Sentai Mechander Robo|35|1977-03-03|1977-12-29|The Doron Empire, hailing from the Ganymede system came to Earth in order to conquer it. Already, general Doron overthrew the queen Medusa of Ganymede in the Magellan star cluster. Earth`s defenses were no match. In a matter of days, 95 % of the Earth fell under Doron occupation. Dr. Shikishima, a brilliant scientist places his last hopes for Earth in a robot he has created. The mother of Jimi would be reborn into a cyborg who is now the leader of the opposing forces and her memory could not recall the past.Source: Wikipedia|2.66|10|25|https://cdn-us.anidb.net/images/main/94911.jpg|-1
TV Series|https://anidb.net/anime/3167|Pro Golfer Saru (1985)|143|1985-04-02|1988-03-28|A series of fantastical tournaments in which players uses absurd powers and Saru remains determined to triumph. Amid kung-fu masters and fairway fairies, his opponents include Death himself.Source: The Anime Encyclopedia|4.03|14|25|https://cdn-us.anidb.net/images/main/48994.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
